title,Adventure,Animation,Science Fiction,TV Movie,Fantasy,Mystery,Crime,Western,Documentary,History,Thriller,Drama,Romance,Music,War,Horror,Family,Foreign,Comedy,Action
Across the Universe,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991,4.238185598447991,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0
Revolutionary Road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481,5.993699553179481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16 Blocks,4.238185598447991,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
Babylon A.D.,4.238185598447991,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
The Glimmer Man,3.790748439756134,0.0,0.0,0.0,0.0,0.0,3.790748439756134,0.0,0.0,0.0,3.790748439756134,3.790748439756134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.790748439756134
Multiplicity,0.0,0.0,4.893835192279086,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0
Aliens in the Attic,3.790748439756134,0.0,3.790748439756134,0.0,3.790748439756134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.790748439756134,0.0,3.790748439756134,0.0
The Pledge,0.0,0.0,0.0,0.0,0.0,4.238185598447991,4.238185598447991,0.0,0.0,0.0,4.238185598447991,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Producers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481,0.0,0.0,0.0,0.0,5.993699553179481,0.0
The Phantom,5.993699553179481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.993699553179481
